company_name,stock_code,event_order,event_date,event_type,source_page,evidence_text_verified,evidence_length,annotator,review_date,notes
芜湖三联锻造股份有限公司,001282,1,2004-06-18,增资,PDF p1,yes,153,zbq,2026-06-16,家族创始三人组设立，孙国奉为第一大股东（35%）
芜湖三联锻造股份有限公司,001282,2,2007-12,增资及股权转让,PDF p1,yes,165,zbq,2026-06-16,"家族关联方（温州三联、张爱连、孙娟丽）注资后退出，股权回归三位创始人家族。注册资本从500万增至2,000万"
芜湖三联锻造股份有限公司,001282,3,2014-05,增资,PDF p1,yes,88,zbq,2026-06-16,"创始人增资3,000万，孙国奉控制权进一步增强（66.50%）"
芜湖三联锻造股份有限公司,001282,4,2017-02,增资,PDF p1,yes,68,zbq,2026-06-16,"首次引入外部PE/VC机构（高新同华），注册资本增至6,150万"
芜湖三联锻造股份有限公司,001282,5,2018-11-26,其他,PDF p1,yes,157,zbq,2026-06-16,"股改：净资产2.98亿折股8,150万股。5名发起人，家族+高新同华（VC）"
上海友升铝业股份有限公司,603418,1,1992-12-04,设立,PDF p40-42,yes,168,zbq,2026-06-16,有限公司设立。徐泾工业公司以土地使用权出资99.12万美元+货币出资140.88万美元；友升太平洋美国以货币出资160万美元。实际控制人罗世兵2003年通过代持间接收购外方股权
上海友升铝业股份有限公司,603418,2,2020-09-09,整体变更,PDF p41-42,yes,229,zbq,2026-06-16,"股改。追溯调整后净资产40,437.44万元，评估值48,620.33万元。泽升贸易为控股股东(罗世兵100%持有)，达晨创联为外部PE"
上海友升铝业股份有限公司,603418,3,2020-09-27,增资,PDF p42-43,yes,157,zbq,2026-06-16,"A轮：金浦系(金浦临港+金浦科创)合计10,000万，上海骁墨1,500万。认购价8.33元/股"
上海友升铝业股份有限公司,603418,4,2022-12-19,增资,PDF p43-45,yes,355,zbq,2026-06-16,B轮：达晨系+杉晖/联炻/安吉璞颉/财投晨源/杉创智至共10家机构，总融资3.7亿。认购价33.63元/股
黄山谷捷股份有限公司,301581,1,2012-06-12,增资,PDF p1,yes,192,zbq,2026-06-16,初始设立事件，昆山谷捷为唯一股东，黄山市供销社（政府背景）通过昆山谷捷间接控股
黄山谷捷股份有限公司,301581,2,2021-04-07,股权转让,PDF p1,yes,193,zbq,2026-06-16,同一控制下的股权重组，昆山谷捷退出，实际控制权从昆山谷捷转移到黄山供销集团直接持股
黄山谷捷股份有限公司,301581,3,2021-04-13,其他,PDF p1,yes,201,zbq,2026-06-16,"谷捷有限吸收合并其母公司昆山谷捷，合并后注册资本增至1,200万元"
黄山谷捷股份有限公司,301581,4,2021-11-11,增资,PDF p1,yes,189,zbq,2026-06-16,"首次引入外部投资者（A轮）。赛格高技术（上海广弘实业）出资10,377万元占27%；上汽科技出资1,153万元占3%。投后估值约3.84亿元"
黄山谷捷股份有限公司,301581,5,2022-05-26,增资,PDF p1,yes,179,zbq,2026-06-16,员工股权激励轮，由黄山佳捷（员工持股平台）全额认购
黄山谷捷股份有限公司,301581,6,2022-09-13,其他,PDF p1,yes,142,zbq,2026-06-16,有限公司整体变更为股份有限公司，净资产折股方案为按1:0.29773折股
云汉芯城（上海）互联网科技股份有限公司,301563,1,2008-05-07,增资,PDF p1,yes,103,zbq,2026-06-16,公司设立，深圳云汉电子（法人股东）与刘云锋（创始人）各50%
云汉芯城（上海）互联网科技股份有限公司,301563,2,2009-12,增资及股权转让,PDF p1,yes,98,zbq,2026-06-16,天使轮：深圳云汉电子退出，曾烨受让全部50%股权并参与增资
云汉芯城（上海）互联网科技股份有限公司,301563,3,2014-08,增资,PDF p1,yes,76,zbq,2026-06-16,A轮：引入上市公司力源信息（产业资本）和东方富海系（VC），注册资本从100万增至128.205万
云汉芯城（上海）互联网科技股份有限公司,301563,4,2015-08,增资,PDF p1,yes,135,zbq,2026-06-16,"B轮：引入深创投系（深圳创投、镇江红土、昆山红土）和富海系。丰利财富出资1,000万元。附带业绩对赌条款"
云汉芯城（上海）互联网科技股份有限公司,301563,5,2015-12-03,其他,PDF p1,yes,129,zbq,2026-06-16,"股改：净资产4,501万折股4,000万。曾烨持股44.48%为第一大股东"
云汉芯城（上海）互联网科技股份有限公司,301563,6,2018-06-28,增资及股权转让,PDF p1,yes,201,zbq,2026-06-16,C轮：国科系（国科瑞华、CASREV FUND、中科贵银）主投，南山富海跟投。总融资1.51亿，投后估值约13.5亿
云汉芯城（上海）互联网科技股份有限公司,301563,7,2020-05-28,增资,PDF p1,yes,103,zbq,2026-06-16,"D轮：火炬电子（上市公司/产业资本）独家投资5,000万，投后估值21亿"
云汉芯城（上海）互联网科技股份有限公司,301563,8,2020-09-23,增资及股权转让,PDF p1,yes,127,zbq,2026-06-16,"D+轮：厦门西堤5,000万 + 政府中小企业基金2,000万。IPO前最后一轮，投后估值25.2亿"
苏州赛分科技股份有限公司,688758,1,2009-03,增资,PDF p2,yes,102,zbq,2026-06-16,赛分科技由黄学英（美籍技术创始人）与沈建林、潘鼎共同设立。因MinerU解析质量有限，部分原文缺失
苏州赛分科技股份有限公司,688758,2,2011-10,股权转让,PDF p64,yes,367,zbq,2026-06-16,赛分有限以170万美元收购美国赛分（原技术来源方）100%股权，实现境内外股权统一。黄学英/刘鸿雁（创始人家族）获得约82.6万美元
苏州赛分科技股份有限公司,688758,3,2015-08,增资,PDF p57-58,yes,117,zbq,2026-06-16,高新同华约2015年投资赛分科技，附带业绩对赌。后因业绩不达预期，黄学英以零对价向高新同华转让22万元注册资本作为补偿
苏州赛分科技股份有限公司,688758,4,2021-04,增资及股权转让,PDF p55-56,yes,238,zbq,2026-06-16,报告期内第一次股权转让：黄学英（创始人）向复星惟盈（PE）、朱勤华、唐斌、张敏转让老股。复星惟盈受让价51.52元/注册资本
苏州赛分科技股份有限公司,688758,5,2021-08,股权转让,PDF p57-58,yes,153,zbq,2026-06-16,业绩对赌补偿：黄学英以0元向高新同华转让22万注册资本（0.8%），作为2015年业绩承诺未达标的补偿
苏州赛分科技股份有限公司,688758,6,2021-11,增资,PDF p59-61,yes,441,zbq,2026-06-16,Pre-IPO轮大规模增资：源峰磐赛（中信产业基金旗下）2亿领投，高瓴祈睿（高瓴资本医疗基金）8000万，夏尔巴二期5000万，国药系7886.79万，甘李药业3000万。总融资5.4亿元，增资价127.24元/股
苏州赛分科技股份有限公司,688758,7,2021-09-16,其他,PDF p52-53,yes,299,zbq,2026-06-16,"股改：12名发起人股东。黄学英29.20%为第一大股东。国寿疌泉（国寿资本）、华泰大健康一号（华泰证券）、复星惟盈（复星资本）为外部PE股东。股改基准日累计未分配利润为负4,960万"
影石创新科技股份有限公司,688775,1,2015-07-09,增资,PDF p1,yes,68,zbq,2026-06-16,北京岚锋（境外架构顶层公司）全资设立深圳岚锋作为境内运营主体
影石创新科技股份有限公司,688775,2,2015,增资,PDF p42,yes,111,zbq,2026-06-16,天使轮。招股书未逐轮披露六次增资的详情，本拆分基于投资人类型推断，日期和金额均未明确。confidence=low
影石创新科技股份有限公司,688775,3,2016,增资,PDF p42,yes,68,zbq,2026-06-16,A轮。启明创投美元基金进入。招股书未逐轮披露详情，日期/金额均未明确。confidence=low
