index,investor_raw,investor_clean,frozen_is_institution,status,date,alias
1,上海丽华,上海丽华,0,REJECTED,2024-12,Pre-IPO 轮股东
2,德辽创业,德辽创业,0,REJECTED,2024-12,Pre-IPO 轮股东
3,中科蓝讯,中科蓝讯,0,REJECTED,2024-12,Pre-IPO 轮股东
4,文信二号基金,文信二号基金,1,ACCEPTED,2024-12,Pre-IPO 轮股东
5,嘉德利雅,嘉德利雅,0,REJECTED,2024-12,Pre-IPO 轮股东
6,久奕能元,久奕能元,0,REJECTED,2024-12,Pre-IPO 轮股东
7,盈趣科技,盈趣科技,1,ACCEPTED,2024-12,Pre-IPO 轮股东
8,华控基金,华控基金,1,ACCEPTED,2024-12,Pre-IPO 轮股东
9,深圳稳致,深圳稳致,0,REJECTED,2024-12,Pre-IPO 轮股东
10,泉州开普勒,泉州开普勒,1,ACCEPTED,2024-12,Pre-IPO 轮股东
11,嘉兴上河,嘉兴上河,0,REJECTED,2024-12,Pre-IPO 轮股东
12,三亚神力,三亚神力,0,REJECTED,2024-12,Pre-IPO 轮股东
13,陕西千帆,陕西千帆,0,REJECTED,2024-12,Pre-IPO 轮股东
14,浙江千帆,浙江千帆,0,REJECTED,2024-12,Pre-IPO 轮股东
15,恒兴集团,恒兴集团,1,ACCEPTED,2024-12,Pre-IPO 轮股东
16,拉萨联虹,拉萨联虹,0,REJECTED,2024-12,Pre-IPO 轮股东
17,厦门国贸,厦门国贸,0,REJECTED,2024-12,Pre-IPO 轮股东
18,榕宁万石一期,榕宁万石一期,1,ACCEPTED,2024-12,Pre-IPO 轮股东
19,圆周基金,圆周基金,1,ACCEPTED,2024-12,Pre-IPO 轮股东
20,金投鼎融,金投鼎融,0,REJECTED,2024-12,Pre-IPO 轮股东
21,淄博白泽,淄博白泽,0,REJECTED,2024-12,Pre-IPO 轮股东
22,杭州纪希,杭州纪希,0,REJECTED,2024-12,Pre-IPO 轮股东
23,杭州富浙,杭州富浙,0,REJECTED,2024-12,Pre-IPO 轮股东
24,青岛图灵,青岛图灵,0,REJECTED,2024-12,Pre-IPO 轮股东
25,苏州和基,苏州和基,0,REJECTED,2024-12,Pre-IPO 轮股东
26,千曦资本,千曦资本,1,ACCEPTED,2024-12,Pre-IPO 轮股东
27,温州典轩,温州典轩,0,REJECTED,2024-12,Pre-IPO 轮股东
28,启创科信,启创科信,0,REJECTED,2024-12,Pre-IPO 轮股东
29,嘉兴加合,嘉兴加合,0,REJECTED,2024-12,Pre-IPO 轮股东
30,汇创集智,汇创集智,0,REJECTED,2024-12,Pre-IPO 轮股东
31,深圳安鹏,深圳安鹏,0,REJECTED,2024-12,Pre-IPO 轮股东
32,文惠投资,文惠投资,1,ACCEPTED,2024-12,Pre-IPO 轮股东
33,中保投信,中保投信,0,REJECTED,2024-12,Pre-IPO 轮股东
34,衢州厚雪,衢州厚雪,0,REJECTED,2024-12,Pre-IPO 轮股东
35,齐鲁前海,齐鲁前海,0,REJECTED,2024-12,Pre-IPO 轮股东
36,智慧互联,智慧互联,0,REJECTED,2024-12,Pre-IPO 轮股东
37,五源启兴,五源启兴,0,REJECTED,2024-12,Pre-IPO 轮股东
38,福建拓锋,福建拓锋,0,REJECTED,2024-12,Pre-IPO 轮股东
