stock_code,subscription_date,event_context,subscriber_name,amount_subscribed,shares_subscribed,price_per_share,source,evidence_text
688795,2022-12,增资及股权转让,和谐健康,50000.0,,,heading,"， 和谐健康以50,000 万元认购"
688795,2022-12,增资及股权转让,红杉资本,600.0,,,heading,；红杉资本以600 万元认购
688795,2022-12,增资及股权转让,翊辰投资,26000.0,,,heading,"；翊辰投资以26,000 万元认购"
688795,2023-10,增资,厚雪资本,12000.0,,,heading,"；厚雪资本以12,000 万元认购"
688795,2023-10,增资,福建拓锋,20000.0,,,heading,"， 福建拓锋以20,000 万元认购"
688795,2023-10,增资,策源电子 基金,5000.0,,,heading,"；策源电子 基金以5,000 万元认购"
688795,2023-10,增资,集美中和,10000.0,,,heading,"；集美中和以10,000 万元认购"
688802,2022-09,增资,央视融媒体,,,,week10_adaptive_v1,"报告期第一 次增资 1、混沌投资、央视融媒体、中鑫致鼎、建银科创、嘉 兴普超、深圳恩启、国盛川禾、中网投、国创中鼎、经 乾二号按照每1 元注册资本1,088.8406 元的价格，以货 币出资认购发行人新增的注册资本46.6552 万元，超出 部分计入公司资本公积； 2、本次增资后，发行人注册资本由624.5175 万元增加 至671.1727 万元。"
688802,2022-09,增资,混沌投资,,,,week10_adaptive_v1,"报告期第一 次增资 1、混沌投资、央视融媒体、中鑫致鼎、建银科创、嘉 兴普超、深圳恩启、国盛川禾、中网投、国创中鼎、经 乾二号按照每1 元注册资本1,088.8406 元的价格，以货 币出资认购发行人新增的注册资本46.6552 万元，超出 部分计入公司资本公积； 2、本次增资后，发行人注册资本由624.5175 万元增加 至671.1727 万元。"
688802,2023-02,增资,上海荣至和,,,,week10_adaptive_v1,"报告期第二 次增资 1、嘉兴普超、上海荣至和、嘉兴启锦、和暄新芯一号、 睿石尼盛、郑州清禾、湖州普能按照每1 元注册资本 1,088.8406 元的价格，以货币出资认购发行人新增的注 册资本20.5594 万元，超出部分计入公司资本公积； 2、本次增资后，发行人注册资本由671.1727 万元增加 至691.7321 万元。"
688802,2023-02,增资,和暄新芯一号,,,,week10_adaptive_v1,"报告期第二 次增资 1、嘉兴普超、上海荣至和、嘉兴启锦、和暄新芯一号、 睿石尼盛、郑州清禾、湖州普能按照每1 元注册资本 1,088.8406 元的价格，以货币出资认购发行人新增的注 册资本20.5594 万元，超出部分计入公司资本公积； 2、本次增资后，发行人注册资本由671.1727 万元增加 至691.7321 万元。"
688802,2023-04,增资,科力基金,,,,week10_adaptive_v1,"报告期第三 次增资 1、科力基金按照每1 元注册资本1,088.8406 元的价格， 以货币出资认购对应发行人新增的注册资本13.7761 万 元，超出部分计入公司资本公积； 2、本次增资后，发行人注册资本由691.7321 万元增加 至705.5082 万元。"
688802,2023-12,增资,富海优选二号,,,,week10_adaptive_v1,"报告期第四 次增资 1、青岛国道、智源芯君、景仓尧光、景仓长右按照每 1 元注册资本1,088.8406 元的价格，以货币出资认购发 行人新增的注册资本45.9205 万元，超出部分计入公司 资本公积； 2、富海优选二号、经乾二号、混沌投资、中山公用按 照每1 元注册资本1,264.2583 元的价格，以货币出资认 购发行人新增的注册资本26.9012 万元，超出部分计入 公司资本公积； 3、上述增资后，发行人注册资本由705.5082 万元增加 至778.3299 万元。"
688802,2023-12,增资,混沌投资,,,,week10_adaptive_v1,"报告期第四 次增资 1、青岛国道、智源芯君、景仓尧光、景仓长右按照每 1 元注册资本1,088.8406 元的价格，以货币出资认购发 行人新增的注册资本45.9205 万元，超出部分计入公司 资本公积； 2、富海优选二号、经乾二号、混沌投资、中山公用按 照每1 元注册资本1,264.2583 元的价格，以货币出资认 购发行人新增的注册资本26.9012 万元，超出部分计入 公司资本公积； 3、上述增资后，发行人注册资本由705.5082 万元增加 至778.3299 万元。"
688802,2024-08,增资,和暄新芯二号,,,,week10_adaptive_v1,"报告期第五 次增资 1、源庐加佳、中网投、和暄新芯二号、扬州启曦、湘 江五号、引领区基金、上科共赢各以人民币1,264.2583 元/每一元注册资本的价格，以货币出资认购发行人新 增的注册资本80.1259 万元，超出部分计入公司资本公 积； 2、本次增资后，发行人注册资本由778.3299 万元增加 至858.4558 万元。"
688802,2024-08,增资,引领区基金,,,,week10_adaptive_v1,"报告期第五 次增资 1、源庐加佳、中网投、和暄新芯二号、扬州启曦、湘 江五号、引领区基金、上科共赢各以人民币1,264.2583 元/每一元注册资本的价格，以货币出资认购发行人新 增的注册资本80.1259 万元，超出部分计入公司资本公 积； 2、本次增资后，发行人注册资本由778.3299 万元增加 至858.4558 万元。"
688802,2025-02,增资,南京智沐曦,,,,week10_adaptive_v1,"报告期第六 次增资 1、经纬创壹号、经纬创叁号、河南科投、海南泰达、 富海精选二号、富海隽永、河南睿合、格金广发、广发 中鼎、晖泽共广、卓源芯力、济南宇辰、谦益永泰、绵 阳国科、葛卫东、国孚领航、伊敦战新、南京智沐曦以 合计139,541.40 万元人民币的投资金额，认购公司发行 新股1,103,742 股； 2、本次增资扩股完成后，公司注册资本为9,688,300 元 人民币，股份总数为9,688,300 股。"
688802,2025-02,增资,富海精选二号,,,,week10_adaptive_v1,"报告期第六 次增资 1、经纬创壹号、经纬创叁号、河南科投、海南泰达、 富海精选二号、富海隽永、河南睿合、格金广发、广发 中鼎、晖泽共广、卓源芯力、济南宇辰、谦益永泰、绵 阳国科、葛卫东、国孚领航、伊敦战新、南京智沐曦以 合计139,541.40 万元人民币的投资金额，认购公司发行 新股1,103,742 股； 2、本次增资扩股完成后，公司注册资本为9,688,300 元 人民币，股份总数为9,688,300 股。"
688802,2025-02,增资,经纬创叁号,,,,week10_adaptive_v1,"报告期第六 次增资 1、经纬创壹号、经纬创叁号、河南科投、海南泰达、 富海精选二号、富海隽永、河南睿合、格金广发、广发 中鼎、晖泽共广、卓源芯力、济南宇辰、谦益永泰、绵 阳国科、葛卫东、国孚领航、伊敦战新、南京智沐曦以 合计139,541.40 万元人民币的投资金额，认购公司发行 新股1,103,742 股； 2、本次增资扩股完成后，公司注册资本为9,688,300 元 人民币，股份总数为9,688,300 股。"
688802,2025-02,增资,经纬创壹号,,,,week10_adaptive_v1,"报告期第六 次增资 1、经纬创壹号、经纬创叁号、河南科投、海南泰达、 富海精选二号、富海隽永、河南睿合、格金广发、广发 中鼎、晖泽共广、卓源芯力、济南宇辰、谦益永泰、绵 阳国科、葛卫东、国孚领航、伊敦战新、南京智沐曦以 合计139,541.40 万元人民币的投资金额，认购公司发行 新股1,103,742 股； 2、本次增资扩股完成后，公司注册资本为9,688,300 元 人民币，股份总数为9,688,300 股。"
