stock_code,subscription_date,event_context,subscriber_name,amount_subscribed,shares_subscribed,price_per_share,source,evidence_text
688795,2022-12,增资及股权转让,和谐健康,50000.0,,,heading,"， 和谐健康以50,000 万元认购"
688795,2022-12,增资及股权转让,红杉资本,600.0,,,heading,；红杉资本以600 万元认购
688795,2022-12,增资及股权转让,翊辰投资,26000.0,,,heading,"；翊辰投资以26,000 万元认购"
688795,2023-10,增资,厚雪资本,12000.0,,,heading,"；厚雪资本以12,000 万元认购"
688795,2023-10,增资,福建拓锋,20000.0,,,heading,"， 福建拓锋以20,000 万元认购"
688795,2023-10,增资,策源电子 基金,5000.0,,,heading,"；策源电子 基金以5,000 万元认购"
688795,2023-10,增资,集美中和,10000.0,,,heading,"；集美中和以10,000 万元认购"
688795,2024-12,增资,千曦资本,,,,week10_long_syndicate_alias_v1,"股权 
186.5590 
0.5653 
33 
博时招商 
182.7391 
0.5538 
34 
厚雪资本 
160.8451 
0.4874 
35 
集美中和 
134.0375 
0.4062 
36 
建银资本 
133.2562 
0.4038 
37 
潍坊基金 
121.7476 
0.3689 
38 
观致行远 
121.7476 
0.3689 


## 第67页

摩尔线程智能科技（北京）股份有限公司 首次公开发行股票并在科创板上市招股说明书 
1-1-66 
序号 
发起人 
持股数（万股） 
持股比例（%） 
39 
淄博基金 
121.7476 
0.3689 
40 
广州合信 
117.2653 
0.3553 
41 
中关村科学城 
100.5282 
0.3046 
42 
佛山瑞展 
95.7410 
0.2901 
43 
青岛新鼎 
83.7734 
0.2539 
44 
中原前海 
79.9535 
0.2423 
45 
策源电子基金 
67.0188 
0.2031 
46 
华瑞永恒 
39.9774 
0.1211 
合计 
33,000.0000 
100.00 
7、2024 年12 月，报告期内第三次增资 
2024 年11-12 月期间，上海丽华、德辽创业、中科蓝讯、文信二号基金、嘉
德利雅、久奕能元、盈趣科技、华控基金、深圳稳致、泉州开普勒、嘉兴上河、
三亚神力、陕西千帆、浙江千帆、恒兴集团、拉萨联虹、厦门国贸、榕宁万石一
期、圆周基金、金投鼎融、淄博白泽、杭州纪希、杭州富浙、青岛图灵、苏州和
基、千曦资本、温州典轩、启创科信、嘉兴加合、汇创集智、深圳安鹏、文惠投
资、中保投信、衢州厚雪、齐鲁前海、智慧互联、五源启兴及福建拓锋（以下简
称“Pre-IPO 轮股东”）共计38 家主体与摩尔线程签订《关于摩尔线程智能科技
（北京）股份有限公司之增资协议》； 
2024 年12 月，摩尔线程召开2024 年第二次临时股东会，审议并通过了《关
于公司引入新股东并增资扩股的议案》，公司注册资本由人民币33,000.00 万元
增加至人民币40,002.8217 万元；新增股份7,002.8217 万股由Pre-IPO 轮股东以
合计522,452.9091 万元认购。 
2025 年6 月，容诚会计"
688795,2024-12,增资,华控基金,,,,week10_long_syndicate_alias_v1,"股权 
186.5590 
0.5653 
33 
博时招商 
182.7391 
0.5538 
34 
厚雪资本 
160.8451 
0.4874 
35 
集美中和 
134.0375 
0.4062 
36 
建银资本 
133.2562 
0.4038 
37 
潍坊基金 
121.7476 
0.3689 
38 
观致行远 
121.7476 
0.3689 


## 第67页

摩尔线程智能科技（北京）股份有限公司 首次公开发行股票并在科创板上市招股说明书 
1-1-66 
序号 
发起人 
持股数（万股） 
持股比例（%） 
39 
淄博基金 
121.7476 
0.3689 
40 
广州合信 
117.2653 
0.3553 
41 
中关村科学城 
100.5282 
0.3046 
42 
佛山瑞展 
95.7410 
0.2901 
43 
青岛新鼎 
83.7734 
0.2539 
44 
中原前海 
79.9535 
0.2423 
45 
策源电子基金 
67.0188 
0.2031 
46 
华瑞永恒 
39.9774 
0.1211 
合计 
33,000.0000 
100.00 
7、2024 年12 月，报告期内第三次增资 
2024 年11-12 月期间，上海丽华、德辽创业、中科蓝讯、文信二号基金、嘉
德利雅、久奕能元、盈趣科技、华控基金、深圳稳致、泉州开普勒、嘉兴上河、
三亚神力、陕西千帆、浙江千帆、恒兴集团、拉萨联虹、厦门国贸、榕宁万石一
期、圆周基金、金投鼎融、淄博白泽、杭州纪希、杭州富浙、青岛图灵、苏州和
基、千曦资本、温州典轩、启创科信、嘉兴加合、汇创集智、深圳安鹏、文惠投
资、中保投信、衢州厚雪、齐鲁前海、智慧互联、五源启兴及福建拓锋（以下简
称“Pre-IPO 轮股东”）共计38 家主体与摩尔线程签订《关于摩尔线程智能科技
（北京）股份有限公司之增资协议》； 
2024 年12 月，摩尔线程召开2024 年第二次临时股东会，审议并通过了《关
于公司引入新股东并增资扩股的议案》，公司注册资本由人民币33,000.00 万元
增加至人民币40,002.8217 万元；新增股份7,002.8217 万股由Pre-IPO 轮股东以
合计522,452.9091 万元认购。 
2025 年6 月，容诚会计"
688795,2024-12,增资,圆周基金,,,,week10_long_syndicate_alias_v1,"股权 
186.5590 
0.5653 
33 
博时招商 
182.7391 
0.5538 
34 
厚雪资本 
160.8451 
0.4874 
35 
集美中和 
134.0375 
0.4062 
36 
建银资本 
133.2562 
0.4038 
37 
潍坊基金 
121.7476 
0.3689 
38 
观致行远 
121.7476 
0.3689 


## 第67页

摩尔线程智能科技（北京）股份有限公司 首次公开发行股票并在科创板上市招股说明书 
1-1-66 
序号 
发起人 
持股数（万股） 
持股比例（%） 
39 
淄博基金 
121.7476 
0.3689 
40 
广州合信 
117.2653 
0.3553 
41 
中关村科学城 
100.5282 
0.3046 
42 
佛山瑞展 
95.7410 
0.2901 
43 
青岛新鼎 
83.7734 
0.2539 
44 
中原前海 
79.9535 
0.2423 
45 
策源电子基金 
67.0188 
0.2031 
46 
华瑞永恒 
39.9774 
0.1211 
合计 
33,000.0000 
100.00 
7、2024 年12 月，报告期内第三次增资 
2024 年11-12 月期间，上海丽华、德辽创业、中科蓝讯、文信二号基金、嘉
德利雅、久奕能元、盈趣科技、华控基金、深圳稳致、泉州开普勒、嘉兴上河、
三亚神力、陕西千帆、浙江千帆、恒兴集团、拉萨联虹、厦门国贸、榕宁万石一
期、圆周基金、金投鼎融、淄博白泽、杭州纪希、杭州富浙、青岛图灵、苏州和
基、千曦资本、温州典轩、启创科信、嘉兴加合、汇创集智、深圳安鹏、文惠投
资、中保投信、衢州厚雪、齐鲁前海、智慧互联、五源启兴及福建拓锋（以下简
称“Pre-IPO 轮股东”）共计38 家主体与摩尔线程签订《关于摩尔线程智能科技
（北京）股份有限公司之增资协议》； 
2024 年12 月，摩尔线程召开2024 年第二次临时股东会，审议并通过了《关
于公司引入新股东并增资扩股的议案》，公司注册资本由人民币33,000.00 万元
增加至人民币40,002.8217 万元；新增股份7,002.8217 万股由Pre-IPO 轮股东以
合计522,452.9091 万元认购。 
2025 年6 月，容诚会计"
