stock_code,board,company_name,status,character_count,line_count,heading_count,html_table_count,date_expression_count,page_marker_count,flags
001286,Main,陕西能源,ok,1772032,8754,1063,447,3805,0,
001400,Main,江顺科技,ok,790953,6666,898,266,1612,0,
301358,ChiNext,湖南裕能,ok,934649,6841,908,304,1649,0,
301536,ChiNext,星宸科技,ok,1010114,6728,927,308,1766,0,
301603,ChiNext,乔锋智能,ok,894704,6729,969,339,1226,0,
301662,ChiNext,宏工科技,ok,1183374,7293,968,341,2322,0,
603307,Main,扬州金泉,ok,947204,7497,962,349,995,0,
603312,Main,西典新能,ok,668398,5647,757,248,791,0,
920002,BSE,万达轴承,ok,798422,6318,882,362,922,0,
920008,BSE,成电光信,ok,834766,5741,818,340,810,0,
920066,BSE,科拜尔,ok,829819,5847,744,388,920,0,
920363,BSE,莱赛激光,ok,834054,5530,804,361,1000,0,
