document_id,stock_code,company_short_name,board,historical_role,exploratory_cluster,best_k,silhouette_score,pc1,pc2,heading_density,numbered_heading_density,equity_heading_density,html_table_density,markdown_table_density,table_line_ratio,mermaid_density,equity_signal,investor_signal,restructuring_signal,summary_table_signal,vie_signal,long_list_log,narrative_ratio,date_density
W10S001,001282,三联锻造,Main,historical_dev,0,2,0.566852,4.408014,0.357539,11.153016,93.98075935369425,0.12196493643594063,2.0463006002030038,1.978542302183037,0.004,0.09486161722795382,2.479954,10.52964,0.27103319207986803,0.0,0.0,4.219507705176107,0.989123,35.1259016935509
W10S002,301563,云汉芯城,ChiNext,historical_dev,0,2,0.566852,6.889679,3.513903,11.400812,59.450157565805,0.2431791815733121,1.6736449555339714,2.846626890181712,0.006432,0.1859605506148857,3.633383,31.241373,0.5578816518446572,0.0,0.07152328869803297,4.110873864173311,0.986068,29.124283157839024
W10S003,301581,黄山谷捷,ChiNext,historical_dev,1,2,0.566852,-0.653511,1.059462,9.974021,113.57046761922435,0.0,0.0,0.0,0.0,0.0,4.0302,19.339163,1.9136203377249954,0.0,0.08698274262386343,2.302585092994046,0.999808,28.878270551122657
W10S004,603418,友升股份,Main,historical_dev,0,2,0.566852,9.591784,-2.930684,18.389403,7.509174515638058,0.1816735769912433,5.99522804071103,0.4642769189776218,0.006303,0.1614876239922163,2.381942,18.167358,0.20185952999027038,0.040371905998054076,0.08074381199610815,4.1588830833596715,0.881063,30.823950229514285
W10S005,688411,海博思创,STAR,exploratory,1,2,0.566852,-0.871618,-0.519079,9.026858,94.05052239049876,0.0,0.0,0.0,0.0,0.0,1.603045,25.368584,0.6692325769967644,0.015563548302250334,0.09338128981350201,2.5649493574615367,0.999977,34.66002206911149
W10S006,688545,兴福电子,STAR,exploratory,1,2,0.566852,-1.080428,0.05637,10.179864,140.92244922691603,0.0,0.0,0.0,0.0,0.0,2.625759,23.106676,0.4241610196022985,0.020198143790585647,0.12118886274351387,2.302585092994046,0.999946,33.084559528979284
W10S007,688583,思看科技,STAR,exploratory,1,2,0.566852,-0.804862,-0.772348,9.829243,103.61267123352282,0.0,0.0,0.0,0.0,0.0,2.018674,14.88536,0.3207238548743423,0.0,0.1886610911025543,2.302585092994046,0.99968,25.95976613571147
W10S008,688727,恒坤新材,STAR,exploratory,1,2,0.566852,-0.969667,0.475071,9.845998,138.428880943851,0.0,0.0,0.0,0.0,0.0,2.85144,24.468767,0.6336533282641067,0.048742563712623595,0.14622769113787076,2.5649493574615367,0.999964,35.094645873088986
W10S009,688729,屹唐股份,STAR,exploratory,1,2,0.566852,-0.532123,2.218587,10.495581,90.6159136189311,0.0,0.0,0.0,0.0,0.0,3.325635,36.734532,0.4271457207626382,0.15255204312951365,0.09153122587770818,2.302585092994046,0.99995,27.123753268427524
W10S010,688755,汉邦科技,STAR,exploratory,1,2,0.566852,-1.161312,-0.513012,9.928883,135.9437620345535,0.0,0.0,0.0,0.0,0.0,2.626816,18.219019,1.0603661637157158,0.0,0.07229769298061699,2.1972245773362196,0.999966,41.2819826919323
W10S011,688757,胜科纳米,STAR,exploratory,1,2,0.566852,-1.007347,0.91548,8.962779,107.187918327153,0.0,0.0,0.0,0.0,0.0,2.57728,21.099075,0.6347032666061455,0.15386745857118675,0.15386745857118675,2.302585092994046,0.999969,31.235094089950916
W10S012,688758,赛分科技,STAR,historical_dev,1,2,0.566852,-1.130238,-0.198998,10.008344,143.9579692238092,0.0,0.0,0.0,0.0,0.0,2.283353,19.952668,1.1310068735342258,0.0,0.19205777097751003,2.302585092994046,0.999784,24.199279143166265
W10S013,688759,必贝特,STAR,exploratory,1,2,0.566852,-0.451624,0.830597,9.552935,61.75000860168917,0.0,0.0,0.0,0.0,0.0,2.954933,26.027699,0.6274173276474481,0.02023926863378865,0.02023926863378865,2.1972245773362196,0.999925,24.75262553912352
W10S014,688765,禾元生物,STAR,exploratory,1,2,0.566852,-0.981385,0.557214,9.481854,110.06922592825676,0.0,0.0,0.0,0.0,0.0,2.454374,26.179987,15.565345080763583,0.0,0.14684287812041116,2.6390573296152584,0.999967,32.284455632473254
W10S015,688775,影石创新,STAR,historical_dev,1,2,0.566852,-0.822513,-1.199166,9.935367,89.00730320915913,0.0,0.0,0.0,0.0,0.0,2.82336,17.369022,0.28590982761424333,0.035738728451780416,1.3938104096194361,2.4849066497880004,0.999977,42.636303042974035
W10S016,688783,西安奕材,STAR,exploratory,1,2,0.566852,-0.897499,-0.99321,10.232091,95.82575194743376,0.0,0.0,0.0,0.0,0.0,1.712763,24.534774,1.000965375495478,0.0,0.04448735002202124,2.1972245773362196,0.999964,41.66240329562289
W10S017,688790,昂瑞微,STAR,exploratory,1,2,0.566852,-0.878541,0.515521,10.082936,124.72814620053883,0.0,0.0,0.0,0.0,0.0,2.901126,28.646087,0.527477521342552,0.0,0.08115038789885416,2.3978952727983707,0.999888,32.09497841399682
W10S018,688795,摩尔线程,STAR,historical_blind_failure,1,2,0.566852,-1.310745,-0.659048,9.67112,119.61539178389705,0.0,0.0,0.0,0.0,0.0,2.070904,32.927367,0.5177258993416598,0.0,0.18638132376299751,2.1972245773362196,0.999973,53.532857991927614
W10S019,688796,百奥赛图,STAR,exploratory,1,2,0.566852,-1.02622,-0.133349,9.425352,108.77577073028439,0.0,0.0,0.0,0.0,0.0,2.321052,26.535266,1.3800847497498598,0.0,0.14114503122441746,2.302585092994046,0.999975,36.57224586837128
W10S020,688802,沐曦股份,STAR,historical_blind_failure,1,2,0.566852,-1.171847,1.14468,9.42053,109.6484919961455,0.0,0.0,0.0,0.0,0.0,1.90568,48.451006,0.2157373182413094,0.05393432956032735,0.12584676897409713,2.302585092994046,0.999975,31.821254440593133
W10S021,688805,健信超导,STAR,exploratory,1,2,0.566852,-1.015894,-0.778104,9.919021,117.40166295102046,0.0,0.0,0.0,0.0,0.0,2.232577,15.46857,0.12757583586092958,0.0,0.5740912613741831,2.1972245773362196,0.999902,23.760999429098135
W10S022,688807,优迅股份,STAR,exploratory,1,2,0.566852,-0.983302,-0.155148,9.97299,131.72657386245584,0.0,0.0,0.0,0.0,0.0,2.701018,18.283815,0.33762725950550593,0.0,0.15582796592561812,2.302585092994046,0.999959,29.970912113027218
W10S023,688809,强一股份,STAR,exploratory,1,2,0.566852,-1.07155,-0.418186,9.272538,119.41395637102644,0.0,0.0,0.0,0.0,0.0,2.137969,18.617143,0.6726193478955422,0.0,0.16815483697388556,2.302585092994046,0.999958,28.225990492045074
W10S024,920100,三协电机,BSE,historical_dev,1,2,0.566852,-1.238877,-0.552488,9.996842,166.94464673040633,0.0,0.0,0.0,0.0,0.0,1.879302,20.071988,0.783042433069448,0.0,0.026101414435648267,2.5649493574615367,0.999965,30.1732350876094
