document_id,stock_code,company_short_name,board,historical_role,canonical_parts,missing_parts,character_count,line_count,nonempty_line_count,markdown_heading_count,numbered_heading_count,equity_heading_count,html_table_count,markdown_table_line_count,mermaid_count,image_count,page_marker_count,date_expression_count,equity_term_total,restructuring_term_total,investor_term_total,vie_term_total,summary_table_term_total,longest_delimited_line_score,table_line_ratio,heading_density_per_10k_chars,equity_signal_per_10k_chars,investor_signal_per_10k_chars,narrative_line_ratio
S501,001286,陕西能源,Main,DEV,1,0,1772032,8754,4526,1063,352,28,447,1,0,73,0,3805,359,39,1193,1,0,53,0.000221,5.998763,2.025923,6.732384,0.889306
S508,001400,江顺科技,Main,DEV,1,0,790953,6666,3434,898,331,9,266,0,0,36,0,1612,115,54,663,3,2,47,0.0,11.353393,1.453942,8.382293,0.914677
S509,301358,湖南裕能,ChiNext,DEV,1,0,934649,6841,3540,908,382,16,304,1,0,48,0,1649,204,34,764,1,8,68,0.000282,9.714877,2.182638,8.174192,0.901977
S511,301536,星宸科技,ChiNext,DEV,1,0,1010114,6728,3513,927,295,10,308,0,0,72,0,1766,111,22,819,4,0,44,0.0,9.177182,1.098886,8.107996,0.898662
S512,301603,乔锋智能,ChiNext,DEV,1,0,894704,6729,3460,969,370,9,339,0,0,28,0,1226,96,19,574,4,1,49,0.0,10.830398,1.072981,6.41553,0.889884
S516,301662,宏工科技,ChiNext,DEV,1,0,1183374,7293,3778,968,273,12,341,0,0,67,0,2322,118,39,871,4,0,42,0.0,8.180001,0.997149,7.36031,0.89783
S502,603307,扬州金泉,Main,DEV,1,0,947204,7497,3852,962,380,30,349,0,0,27,0,995,173,49,792,3,0,65,0.0,10.156207,1.826428,8.361451,0.90161
S504,603312,西典新能,Main,DEV,1,0,668398,5647,2909,757,196,11,248,0,0,46,0,791,129,11,443,0,2,43,0.0,11.325587,1.929988,6.627788,0.906497
S519,920002,万达轴承,BSE,DEV,1,0,798422,6318,3199,882,305,2,362,0,0,38,0,922,26,29,466,2,0,55,0.0,11.04679,0.325642,5.836513,0.878712
S520,920008,成电光信,BSE,DEV,1,0,834766,5741,2907,818,229,2,340,0,0,37,0,810,25,10,402,0,0,55,0.0,9.799153,0.299485,4.815721,0.873753
S524,920066,科拜尔,BSE,DEV,1,0,829819,5847,2969,744,255,7,388,1,0,42,0,920,67,26,418,0,0,44,0.000337,8.965811,0.807405,5.037243,0.861233
S517,920363,莱赛激光,BSE,DEV,1,0,834054,5530,2805,804,200,3,361,0,0,39,0,1000,14,20,469,0,0,45,0.0,9.639664,0.167855,5.623137,0.862745
