document_id,stock_code,company_short_name,board,historical_role,canonical_parts,missing_parts,character_count,line_count,nonempty_line_count,markdown_heading_count,numbered_heading_count,equity_heading_count,html_table_count,markdown_table_line_count,mermaid_count,image_count,page_marker_count,date_expression_count,equity_term_total,restructuring_term_total,investor_term_total,vie_term_total,summary_table_term_total,longest_delimited_line_score,table_line_ratio,heading_density_per_10k_chars,equity_signal_per_10k_chars,investor_signal_per_10k_chars,narrative_line_ratio
W10S001,001282,三联锻造,Main,historical_dev,2,0,737917,39746,36500,823,6935,9,151,146,7,39,476,2592,183,20,777,0,0,67,0.004,11.153016,2.479954,10.52964,0.989123
W10S002,301563,云汉芯城,ChiNext,historical_dev,2,0,699073,34389,30937,797,4156,17,117,199,13,41,443,2036,254,39,2184,5,0,60,0.006432,11.400812,3.633383,31.241373,0.986068
W10S003,301581,黄山谷捷,ChiNext,historical_dev,1,0,344896,22177,20798,344,3917,0,0,0,0,0,343,996,139,66,667,3,0,9,0.0,9.974021,4.0302,19.339163,0.999808
W10S004,603418,友升股份,Main,historical_dev,2,0,495394,6714,3649,911,372,9,297,23,8,52,0,1527,118,10,900,4,2,63,0.006303,18.389403,2.381942,18.167358,0.881063
W10S005,688411,海博思创,STAR,exploratory,1,0,642527,46527,44056,580,6043,0,0,0,0,0,579,2227,103,43,1630,6,1,12,0.0,9.026858,1.603045,25.368584,0.999977
W10S006,688545,兴福电子,STAR,exploratory,1,0,495095,38593,37083,504,6977,0,0,0,0,0,503,1638,130,21,1144,6,1,9,0.0,10.179864,2.625759,23.106676,0.999946
W10S007,688583,思看科技,STAR,exploratory,1,0,530051,36547,34342,521,5492,0,0,0,0,0,520,1376,107,17,789,10,0,9,0.0,9.829243,2.018674,14.88536,0.99968
W10S008,688727,恒坤新材,STAR,exploratory,1,0,410319,29049,27456,404,5680,0,0,0,0,0,403,1440,117,26,1004,6,2,12,0.0,9.845998,2.85144,24.468767,0.999964
W10S009,688729,屹唐股份,STAR,exploratory,1,0,327757,21538,19936,344,2970,0,0,0,0,0,343,889,109,14,1204,3,5,9,0.0,10.495581,3.325635,36.734532,0.99995
W10S010,688755,汉邦科技,STAR,exploratory,1,0,414951,30910,29018,412,5641,0,0,0,0,0,411,1713,109,44,756,3,0,8,0.0,9.928883,2.626816,18.219019,0.999966
W10S011,688757,胜科纳米,STAR,exploratory,1,0,519928,34245,32170,466,5573,0,0,0,0,0,465,1624,134,33,1097,8,8,9,0.0,8.962779,2.57728,21.099075,0.999969
W10S012,688758,赛分科技,STAR,historical_dev,1,0,468609,34634,32410,469,6746,0,0,0,0,0,468,1134,107,53,935,9,0,9,0.0,10.008344,2.283353,19.952668,0.999784
W10S013,688759,必贝特,STAR,exploratory,1,0,494089,28619,26718,472,3051,0,0,0,0,0,471,1223,146,31,1286,1,1,8,0.0,9.552935,2.954933,26.027699,0.999925
W10S014,688765,禾元生物,STAR,exploratory,1,0,476700,31770,29969,452,5247,0,0,0,0,0,451,1539,117,742,1248,7,0,13,0.0,9.481854,2.454374,26.179987,0.999967
W10S015,688775,影石创新,STAR,historical_dev,1,0,559617,44958,42658,556,4981,0,0,0,0,0,555,2386,158,16,972,78,2,11,0.0,9.935367,2.82336,17.369022,0.999977
W10S016,688783,西安奕材,STAR,exploratory,1,0,449566,29684,27867,460,4308,0,0,0,0,0,459,1873,77,45,1103,2,0,8,0.0,10.232091,1.712763,24.534774,0.999964
W10S017,688790,昂瑞微,STAR,exploratory,1,0,492912,37161,35631,497,6148,0,0,0,0,0,496,1582,143,26,1412,4,0,10,0.0,10.082936,2.901126,28.646087,0.999888
W10S018,688795,摩尔线程,STAR,historical_blind_failure,1,0,482881,39084,36993,467,5776,0,0,0,0,0,466,2585,100,25,1590,9,0,8,0.0,9.67112,2.070904,32.927367,0.999973
W10S019,688796,百奥赛图,STAR,exploratory,1,0,637642,41945,39583,601,6936,0,0,0,0,0,600,2332,148,88,1692,9,0,9,0.0,9.425352,2.321052,26.535266,0.999975
W10S020,688802,沐曦股份,STAR,historical_blind_failure,1,0,556232,41533,39264,524,6099,0,0,0,0,0,523,1770,106,12,2695,7,3,9,0.0,9.42053,1.90568,48.451006,0.999975
W10S021,688805,健信超导,STAR,exploratory,1,0,313539,21655,20423,311,3681,0,0,0,0,0,310,745,70,4,485,18,0,8,0.0,9.919021,2.232577,15.46857,0.999902
W10S022,688807,优迅股份,STAR,exploratory,1,0,385040,26084,24260,384,5072,0,0,0,0,0,383,1154,104,13,704,6,0,9,0.0,9.97299,2.701018,18.283815,0.999959
W10S023,688809,强一股份,STAR,exploratory,1,0,416283,25528,24056,386,4971,0,0,0,0,0,385,1175,89,28,775,7,0,9,0.0,9.272538,2.137969,18.617143,0.999958
W10S024,920100,三协电机,BSE,historical_dev,1,0,383121,30396,28514,383,6396,0,0,0,0,0,382,1156,72,30,769,1,0,12,0.0,9.996842,1.879302,20.071988,0.999965
W10S025,920116,星图测控,BSE,historical_dev,1,0,351618,29585,27115,366,3794,0,0,0,0,0,365,1203,29,6,626,2,0,11,0.0,10.409023,0.824759,17.803412,0.999963
