document_id,stock_code,company_name,document_date,source_format,source_path,filename,historical_role,prospectus_candidate,board,exchange,year,structure_type,profile_status,notes
P001,688411,海博思创,2025-01-22,markdown,week1/review/688411_海博思创_招股书_正式稿_20250122.md,688411_海博思创_招股书_正式稿_20250122.md,exploratory,yes,STAR,SSE,2025,,pending,
P002,688545,兴福电子,2025-01-17,markdown,week1/review/688545_兴福电子_招股书_正式稿_20250117.md,688545_兴福电子_招股书_正式稿_20250117.md,exploratory,yes,STAR,SSE,2025,,pending,
P003,688583,思看科技,2025-01-10,markdown,week1/review/688583_思看科技_招股书_正式稿_20250110.md,688583_思看科技_招股书_正式稿_20250110.md,exploratory,yes,STAR,SSE,2025,,pending,
P004,688727,恒坤新材,2025-11-13,markdown,week1/review/688727_恒坤新材_招股书_正式稿_20251113.md,688727_恒坤新材_招股书_正式稿_20251113.md,exploratory,yes,STAR,SSE,2025,,pending,
P005,688729,屹唐股份,2025-07-03,markdown,week1/review/688729_屹唐股份_招股书_正式稿_20250703.md,688729_屹唐股份_招股书_正式稿_20250703.md,exploratory,yes,STAR,SSE,2025,,pending,
P006,688755,汉邦科技,2025-05-13,markdown,week1/review/688755_汉邦科技_招股书_正式稿_20250513.md,688755_汉邦科技_招股书_正式稿_20250513.md,exploratory,yes,STAR,SSE,2025,,pending,
P007,688757,胜科纳米,2025-03-20,markdown,week1/review/688757_胜科纳米_招股书_正式稿_20250320.md,688757_胜科纳米_招股书_正式稿_20250320.md,exploratory,yes,STAR,SSE,2025,,pending,
P008,688758,赛分科技,2025-01-06,markdown,week1/review/688758_赛分科技_招股书_正式稿_20250106.md,688758_赛分科技_招股书_正式稿_20250106.md,week8_9_dev,yes,STAR,SSE,2025,,pending,
P009,688759,必贝特,2025-10-23,markdown,week1/review/688759_必贝特_招股书_正式稿_20251023.md,688759_必贝特_招股书_正式稿_20251023.md,exploratory,yes,STAR,SSE,2025,,pending,
P010,688765,禾元生物,2025-10-20,markdown,week1/review/688765_禾元生物_招股书_正式稿_20251020.md,688765_禾元生物_招股书_正式稿_20251020.md,exploratory,yes,STAR,SSE,2025,,pending,
P011,688775,影石创新,2025-06-06,markdown,week1/review/688775_影石创新_招股书_正式稿_20250606.md,688775_影石创新_招股书_正式稿_20250606.md,week8_9_dev,yes,STAR,SSE,2025,,pending,
P012,688783,西安奕材,2025-10-22,markdown,week1/review/688783_西安奕材_招股书_正式稿_20251022.md,688783_西安奕材_招股书_正式稿_20251022.md,exploratory,yes,STAR,SSE,2025,,pending,
P013,688790,昂瑞微,2025-12-11,markdown,week1/review/688790_昂瑞微_招股书_正式稿_20251211.md,688790_昂瑞微_招股书_正式稿_20251211.md,exploratory,yes,STAR,SSE,2025,,pending,
P014,688795,摩尔线程,2025-11-28,markdown,week1/review/688795_摩尔线程_招股书_正式稿_20251128.md,688795_摩尔线程_招股书_正式稿_20251128.md,exploratory,yes,STAR,SSE,2025,,pending,
P015,688796,百奥赛图,2025-12-04,markdown,week1/review/688796_百奥赛图_招股书_正式稿_20251204.md,688796_百奥赛图_招股书_正式稿_20251204.md,exploratory,yes,STAR,SSE,2025,,pending,
P016,688802,沐曦股份,2025-12-11,markdown,week1/review/688802_沐曦股份_招股书_正式稿_20251211.md,688802_沐曦股份_招股书_正式稿_20251211.md,exploratory,yes,STAR,SSE,2025,,pending,
P017,688805,健信超导,2025-12-19,markdown,week1/review/688805_健信超导_招股书_正式稿_20251219.md,688805_健信超导_招股书_正式稿_20251219.md,exploratory,yes,STAR,SSE,2025,,pending,
P018,688807,优迅股份,2025-12-12,markdown,week1/review/688807_优迅股份_招股书_正式稿_20251212.md,688807_优迅股份_招股书_正式稿_20251212.md,exploratory,yes,STAR,SSE,2025,,pending,
P019,688809,强一股份,2025-12-25,markdown,week1/review/688809_强一股份_招股书_正式稿_20251225.md,688809_强一股份_招股书_正式稿_20251225.md,exploratory,yes,STAR,SSE,2025,,pending,
P020,,三协电机,2025-07-11,markdown,week1/review/三协电机_招股书_正式稿_20250711.md,三协电机_招股书_正式稿_20250711.md,week8_9_dev,yes,,,2025,,pending,
P021,,三联锻造,,markdown,week1/review/三联锻造_招股书_PyMuPDF.md,三联锻造_招股书_PyMuPDF.md,week8_9_dev,yes,,,,,pending,
P022,,云汉芯城,,markdown,week1/review/云汉芯城_招股书_PyMuPDF.md,云汉芯城_招股书_PyMuPDF.md,week8_9_dev,yes,,,,,pending,
P023,,星图测控,2024-12-20,markdown,week1/review/星图测控_招股书_正式稿_20241220.md,星图测控_招股书_正式稿_20241220.md,week8_9_dev,yes,,,2024,,pending,
P024,,赛分科技,,markdown,week1/review/赛分科技_完整.md,赛分科技_完整.md,week8_9_dev,yes,,,,,pending,
P025,,黄山谷捷,,markdown,week1/review/黄山谷捷_招股书_PyMuPDF.md,黄山谷捷_招股书_PyMuPDF.md,week8_9_dev,yes,,,,,pending,
