document_id,stock_code,company_short_name,exchange,board,listing_date,prospectus_date,ipo_year,prospectus_title,prospectus_url,canonical_parts,canonical_markdown_files,historical_role,sample_split,canonical_status,structure_type,profile_status,taxonomy_status,notes
W10S001,001282,三联锻造,SZSE,Main,,2023-05-17,2023,,,2,三联锻造_招股书_PyMuPDF.md | 三联锻造3.md,historical_dev,development_anchor,ready,,pending,pending,
W10S002,301563,云汉芯城,SZSE,ChiNext,,2025-09-25,2025,,,2,云汉芯城_招股书_PyMuPDF.md | 云汉芯城2.md,historical_dev,development_anchor,ready,,pending,pending,
W10S003,301581,黄山谷捷,SZSE,ChiNext,,2024-12-19,2024,,,1,黄山谷捷_招股书_PyMuPDF.md,historical_dev,development_anchor,ready,,pending,pending,
W10S004,603418,友升股份,SSE,Main,,2025-09-18,2025,,,2,友升股份1.md | 友升股份2.md,historical_dev,development_anchor,ready,,pending,pending,
W10S005,688411,海博思创,SSE,STAR,2025-01-27,2025-01-22,2025,海博思创首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-01-22/1222389596.PDF,1,688411_海博思创_招股书_正式稿_20250122.md,exploratory,exploratory,ready,,pending,pending,
W10S006,688545,兴福电子,SSE,STAR,2025-01-22,2025-01-17,2025,兴福电子首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-01-17/1222355547.PDF,1,688545_兴福电子_招股书_正式稿_20250117.md,exploratory,exploratory,ready,,pending,pending,
W10S007,688583,思看科技,SSE,STAR,2025-01-15,2025-01-10,2025,思看科技首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-01-10/1222285798.PDF,1,688583_思看科技_招股书_正式稿_20250110.md,exploratory,exploratory,ready,,pending,pending,
W10S008,688727,恒坤新材,SSE,STAR,2025-11-18,2025-11-13,2025,恒坤新材首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-11-13/1224802223.PDF,1,688727_恒坤新材_招股书_正式稿_20251113.md,exploratory,exploratory,ready,,pending,pending,
W10S009,688729,屹唐股份,SSE,STAR,2025-07-08,2025-07-03,2025,屹唐股份首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-07-03/1224068769.PDF,1,688729_屹唐股份_招股书_正式稿_20250703.md,exploratory,exploratory,ready,,pending,pending,
W10S010,688755,汉邦科技,SSE,STAR,2025-05-16,2025-05-13,2025,汉邦科技首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-05-13/1223528584.PDF,1,688755_汉邦科技_招股书_正式稿_20250513.md,exploratory,exploratory,ready,,pending,pending,
W10S011,688757,胜科纳米,SSE,STAR,2025-03-25,2025-03-20,2025,胜科纳米首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-03-20/1222846384.PDF,1,688757_胜科纳米_招股书_正式稿_20250320.md,exploratory,exploratory,ready,,pending,pending,
W10S012,688758,赛分科技,SSE,STAR,,2025-01-06,2025,,,1,688758_赛分科技_招股书_正式稿_20250106.md,historical_dev,development_anchor,ready,,pending,pending,
W10S013,688759,必贝特,SSE,STAR,2025-10-28,2025-10-23,2025,必贝特首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-10-23/1224726268.PDF,1,688759_必贝特_招股书_正式稿_20251023.md,exploratory,exploratory,ready,,pending,pending,
W10S014,688765,禾元生物,SSE,STAR,2025-10-28,2025-10-20,2025,禾元生物首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-10-20/1224719933.PDF,1,688765_禾元生物_招股书_正式稿_20251020.md,exploratory,exploratory,ready,,pending,pending,
W10S015,688775,影石创新,SSE,STAR,,2025-06-06,2025,,,1,688775_影石创新_招股书_正式稿_20250606.md,historical_dev,development_anchor,ready,,pending,pending,
W10S016,688783,西安奕材,SSE,STAR,2025-10-28,2025-10-22,2025,西安奕材首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-10-22/1224723727.PDF,1,688783_西安奕材_招股书_正式稿_20251022.md,exploratory,exploratory,ready,,pending,pending,
W10S017,688790,昂瑞微,SSE,STAR,2025-12-16,2025-12-11,2025,昂瑞微首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-12-11/1224867086.PDF,1,688790_昂瑞微_招股书_正式稿_20251211.md,exploratory,exploratory,ready,,pending,pending,
W10S018,688795,摩尔线程,SSE,STAR,2025-12-05,2025-11-28,2025,摩尔线程首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-11-28/1224831699.PDF,1,688795_摩尔线程_招股书_正式稿_20251128.md,historical_blind_failure,diagnostic_holdout,ready,,pending,pending,
W10S019,688796,百奥赛图,SSE,STAR,2025-12-10,2025-12-04,2025,百奥赛图首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-12-04/1224848797.PDF,1,688796_百奥赛图_招股书_正式稿_20251204.md,exploratory,exploratory,ready,,pending,pending,
W10S020,688802,沐曦股份,SSE,STAR,2025-12-17,2025-12-11,2025,沐曦股份首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-12-11/1224867078.PDF,1,688802_沐曦股份_招股书_正式稿_20251211.md,historical_blind_failure,diagnostic_holdout,ready,,pending,pending,
W10S021,688805,健信超导,SSE,STAR,2025-12-24,2025-12-19,2025,健信超导首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-12-19/1224886206.PDF,1,688805_健信超导_招股书_正式稿_20251219.md,exploratory,exploratory,ready,,pending,pending,
