stock_code,disclosure_form,subscription_date,event_context,subscriber_name,match_name,amount_subscribed,shares_subscribed,price_per_share,evidence_page,evidence_text,include_pevc,notes
301629,text_table,2019-01,增资,西博壹号自控,西博壹号自控,134.2793,,,,2019年1月矽电有限增资，西博壹号自控认购134.28万元出资(7.22%),是,西博创投PE基金(SW5930/管理人深圳市西博创业投资P1034058)
301629,text_table,2019-01,增资,众微创新,众微创新,50.3540,,,,2019年1月增资，众微创新认购50.35万元出资(2.71%),是,PE基金(SX5549/管理人深圳前海众微资本P1023737)
301629,text_table,2019-01,增资,西博聚鑫贰号,西博聚鑫贰号,15.6867,,,,2019年1月增资，西博聚鑫贰号认购15.69万元出资(0.84%),是,西博创投PE基金(SGZ136)
301629,text_table,2019-08,增资及股权转让,丰年君和,丰年君和,97.2117,,,,2019年8月增资+受让，丰年君和认购97.21万元(5.72%),是,丰年资本PE基金(SX2537/管理人宁波丰年荣通P1015651)
301629,text_table,2019-08,增资及股权转让,丰年君传,丰年君传,42.9133,,,,2019年8月增资+受让，丰年君传认购42.91万元(2.53%),是,丰年资本PE基金(SS8298/管理人宁波丰年景顺P1019892)
301629,text_table,2019-08,增资及股权转让,西博汇鑫贰号,西博汇鑫贰号,61.3047,,,,2019年8月增资+受让，西博汇鑫贰号认购61.30万元(3.61%),是,西博创投PE基金(SJG657/管理人深圳市西博创新P1069906)
301629,text_table,2019-08,增资及股权转让,西博汇鑫三号,西博汇鑫三号,35.0312,,,,2019年8月增资+受让，西博汇鑫三号认购35.03万元(2.06%),是,西博创投PE基金(SJN783)
301629,text_table,2019-08,增资及股权转让,众微创新,众微创新,26.2734,,,,2019年8月增资+受让(第二轮)，众微创新认购26.27万元,是,PE基金(第二轮增资)
301629,text_table,2021-12,股权转让,哈勃合伙,哈勃合伙,,,,,2021年12月哈勃合伙受让4.00%股份(8000万元),是,华为哈勃科技创业投资(战略产业资本)
301658,image_table,2021-07,增资,深创投,深创投,,,,,2021年7月投资合同书(2021.7.2)，深创投增资入股,是,深圳市创新投资集团(VC,国资,SD2401)
301658,image_table,2021-07,增资,红土创业,红土创业,,,,,2021年7月投资合同书(2021.7.2)，红土创业增资入股,是,深创投系VC基金(SY9617/管理人深创投红土P1069346)
301658,image_table,2021-07,增资,同创致隆,同创致隆,,,,,2021年7月投资合同书(2021.7.2)，同创致隆增资入股,是,青岛同创致隆股权投资(PE)
301658,image_table,2021-11,增资,领汇基石,领汇基石,,,,,2021年11月投资合同书(2021.11.12)，领汇基石增资入股,是,基石资本系PE基金(深圳市领汇基石股权投资基金)
301658,image_table,2021-11,增资,华金领翊,华金领翊,,,,,2021年11月投资合同书(2021.11.12)，华金领翊增资入股,是,珠海华金领翊新兴科技产业投资基金(PE)
301658,image_table,2021-11,增资,加法贰号,加法贰号,,,,,2021年11月投资合同书(2021.11.12)，加法贰号增资入股,是,深圳市加法贰号创业投资(VC)
301658,image_table,2021-11,增资,长久集团,长久集团,,,,,2021年11月投资合同书(2021.11.12)，长久集团增资入股,是,吉林省长久实业集团(长久物流母公司,产业资本财务投资,待抽检)
301658,image_table,2021-11,增资,智数投资,智数投资,,,,,2021年11月投资合同书(2021.11.12)，智数投资增资入股,是,深圳市智数私募股权投资基金(PE)
301658,image_table,2021-11,增资,问鼎投资,问鼎投资,,,,,2021年11月投资合同书(2021.11.25)，问鼎投资增资入股(2021.8获知),是,宁德时代全资子公司(战略产业资本,供应商低价入股)
301658,image_table,2021-12,股权转让,红土一号,红土一号,,,,,2021年12月股份转让(2021.12.15)，深创投向红土一号转让,是,深创投系PE基金(深圳市红土一号私募股权投资基金)
301658,image_table,2021-12,股权转让,兴睿永瀛,兴睿永瀛,,,,,2021年12月股份转让(2021.12.29)，皓首为峰投资向兴睿永瀛转让,是,福州兴睿永瀛股权投资(PE)
920060,prose,2020-11,增资,新世电子,新世电子,2200.0000,419.4471,,,2020年11月增资扩股，新世电子(常熟)实缴2200万元(3.60%),是,台资电子制造企业(战略产业资本)
920060,prose,2020-11,增资,罗实投资,罗实投资,2000.0000,381.3156,,,2020年11月增资扩股，上海罗实投资管理中心实缴2000万元(3.28%),是,投资管理中心(机构投资者)
920060,prose,2020-11,增资,韵仪投资,韵仪投资,1750.0000,333.6511,,,2020年11月增资扩股，共青城韵仪投资实缴1750万元(2.87%),是,共青城韵仪投资合伙企业(PE基金)
920098,text_table,2023-03,增资,原上智谷,原上智谷,1000.0000,68.9655,14.50,,2023年3月定向发行，陕西原上智谷认购68.9655万股(14.50元/股),是,陕西原上智谷股权投资合伙企业(PE基金)
920098,prelisting,,增资,上海秉原旭,上海秉原旭,,,,,挂牌前增资扩股入股(6.76%)，入股时点未在招股书披露,是,私募股权投资基金(基金业协会备案,秉原秉鸿管理)
920098,prelisting,,增资,财通创新,财通创新,,,,,挂牌前增资入股(3.90%)，入股时点未在招股书披露,是,财通证券直投(券商系投资)
920098,prelisting,,增资,珠海德擎,珠海德擎,,,,,挂牌前增资入股(2.95%)，入股时点未在招股书披露,是,机构投资人(PE)
920098,prelisting,,增资,新余秉鸿,新余秉鸿,,,,,挂牌前增资扩股入股(2.92%)，入股时点未在招股书披露,是,秉鸿系PE基金
