股票代码,公司,事件序号,日期,事件类型,PDF页码,evidence摘要,是否有截图
001282,三联锻造,1,2004-06-18,增资,31,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，注册资本500万元，孙国奉以机器设备,是
001282,三联锻造,2,2007-12,增资及股权转让,34,"2007年12月，三联有限第一次增资1,500万元，温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，",是
001282,三联锻造,3,2014-05,增资,34,"2014年5月，三联有限第二次增资3,000万元，孙国奉出资1,995万元，张松满出资1,005万元。注册资本增至5,0",是
001282,三联锻造,4,2017-02,增资,36,"2017年2月，三联有限第三次增资1,150万元，由高新同华出资1,150万元。注册资本增至6,150万元。高新同华为私",是
001282,三联锻造,5,2018-11-26,其他,38,"2018年10月11日，三联有限召开股东会，同意整体变更设立股份有限公司。截至2018年7月31日，经审计净资产29,8",是
603418,友升股份,1,1992-12-04,设立,40,友升有限成立于1992年12月4日，由徐泾工业公司、友升太平洋美国共同出资设立的中外合资有限责任公司，注册资本为400万,是
603418,友升股份,2,2020-09-09,整体变更,41,"公司由上海友升铝业有限公司整体变更设立。根据会计师出具的《审计报告》，友升有限截至2020年5月31日的净资产为40,4",是
603418,友升股份,3,2020-09-27,增资,42,2020年9月，金浦临港基金、金浦科创基金和上海骁墨与本次增资前公司股东签署《投资协议》，约定金浦临港基金、金浦科创基金,是
603418,友升股份,4,2022-12-19,增资,43,"2022年12月4日，友升股份召开第一届董事会第十六次会议，同意增加注册资本至14,480.1333万元，新增股份的认购",是
301581,黄山谷捷,1,2012-06-12,增资,48,2012年4月11日，黄山市供销社出具《关于同意投资昆山谷捷项目的批复》（黄供财[2012]22号），同意设立谷捷有限。,是
301581,黄山谷捷,2,2021-04-07,股权转让,50,2020年12月30日，黄山市供销社、黄山供销集团出具批复，同意昆山谷捷将其所持谷捷有限78%、11%、11%的股权以零,是
301581,黄山谷捷,3,2021-04-13,其他,52,2020年12月24日，谷捷有限及昆山谷捷召开股东会，同意谷捷有限吸收合并昆山谷捷。2021年4月7日，谷捷有限召开股东,是
301581,黄山谷捷,4,2021-11-11,增资,54,2021年9月18日，赛格高技术、上汽科技与黄山供销集团、张俊武、周斌及谷捷有限签署《增资协议》，约定谷捷有限增加注册资,是
301581,黄山谷捷,5,2022-05-26,增资,54,"2022年5月20日，谷捷有限召开股东会，同意注册资本由1,714.2857万元增至1,804.5113万元，新增注册资",是
301581,黄山谷捷,6,2022-09-13,其他,56,"2022年8月24日，谷捷有限召开股东会，同意以截至2022年5月31日经审计的净资产20,152.51万元按1:0.2",是
