check_type,股票代码,公司,认缴流量数,股权转让数,股权存量数,t0存在,状态,认购日期,认购方,PDF页码,本次认购数量(万股),本次认购金额(万元),本次价格(元/股),预期金额(价格×数量),PDF披露金额,差额,差额%,说明,快照时点,股权结构口径,股东数,持股比例合计(%),预期值(%),差额(%),转让日期,转让方,受让方,转让数量(万股),转让金额(万元),转让占比,转让类型
公司记录完整性,001282,三联锻造,15,0,5,是,pass,,,,,,,,,,,,,,,,,,,,,,,,
公司记录完整性,603418,友升股份,19,0,19,是,pass,,,,,,,,,,,,,,,,,,,,,,,,
公司记录完整性,301581,黄山谷捷,13,3,16,是,pass,,,,,,,,,,,,,,,,,,,,,,,,
公司记录完整性,301563,云汉芯城,24,0,22,是,pass,,,,,,,,,,,,,,,,,,,,,,,,
公司记录完整性,688758,赛分科技,25,1,13,是,pass,,,,,,,,,,,,,,,,,,,,,,,,
公司记录完整性,688775,影石创新,13,1,6,是,pass,,,,,,,,,,,,,,,,,,,,,,,,
公司记录完整性,920100,三协电机,5,0,1,是,pass,,,,,,,,,,,,,,,,,,,,,,,,
公司记录完整性,920116,星图测控,10,2,12,是,pass,,,,,,,,,,,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2020-09-27,上海金浦临港智能科技股权投资基金合伙企业(有限合伙),PDF p42-43,840.0,7000.0,8.3333,6999.97,7000.00,-0.03,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2020-09-27,上海金浦科技创业股权投资基金合伙企业(有限合伙),PDF p42-43,360.0,3000.0,8.3333,2999.99,3000.00,-0.01,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2020-09-27,上海骁墨信息技术服务中心(有限合伙),PDF p42-43,180.0,1500.0,8.3333,1499.99,1500.00,-0.01,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2022-12-19,深圳市杉晖创业投资合伙企业(有限合伙),PDF p43-45,297.3333,10000.0,33.6323,10000.00,10000.00,0.00,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2022-12-19,上海联炻企业管理中心(有限合伙),PDF p43-45,297.3333,10000.0,33.6323,10000.00,10000.00,0.00,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2022-12-19,安吉璞颉企业管理合伙企业(有限合伙),PDF p43-45,148.6667,5000.0,33.6323,5000.00,5000.00,0.00,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2022-12-19,江西赣江新区财投晨源股权投资中心(有限合伙),PDF p43-45,89.2,3000.0,33.6323,3000.00,3000.00,0.00,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2022-12-19,深圳市达晨创程私募股权投资基金企业(有限合伙),PDF p43-45,86.5984,2912.5,33.6323,2912.50,2912.50,0.00,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2022-12-19,上海杉创智至创业投资合伙企业(有限合伙),PDF p43-45,59.4667,2000.0,33.6323,2000.00,2000.00,0.00,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2022-12-19,杭州达晨创程股权投资基金合伙企业(有限合伙),PDF p43-45,51.959,1747.5,33.6323,1747.50,1747.50,0.00,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2022-12-19,海南三亚达晨财汇私募股权投资基金合伙企业(有限合伙),PDF p43-45,29.7333,1000.0,33.6323,1000.00,1000.00,-0.00,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2022-12-19,深圳市达晨财智创业投资管理有限公司,PDF p43-45,29.7333,1000.0,33.6323,1000.00,1000.00,-0.00,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,603418,友升股份,,,,,pass,2022-12-19,深圳市财智创赢私募股权投资企业(有限合伙),PDF p43-45,10.1093,340.0,33.6323,340.00,340.00,-0.00,0.0%,,,,,,,,,,,,,,
认缴流量-价格×数量≈金额,920100,三协电机,,,,,待复核,2023-09-06,盛祎、盛松、薛小丽、倪进宽、余方成、吴春扣、陆宇君、戈翔俊、陈都亮、圣利、董雪强、文涛、付荷庆、陈韵、盛月瑶,PDF p32,321.5,1723.09,5.41,1739.32,1723.09,16.23,0.9%,price×shares=1739≠amount=1723,,,,,,,,,,,,,
股权存量-持股比例合计≈100%,001282,三联锻造,,,,,pass,,,PDF p1,,,,,,,,3股东100.0% ≈100%,2004-06-18,增资后,3,100.00,100.00,0.00,,,,,,,
股权存量-持股比例合计≈100%,603418,友升股份,,,,,pass,,,PDF p41-42,,,,,,,,4股东100.0% ≈100%,2020-09-09,整体变更后,4,100.00,100.00,0.00,,,,,,,
股权存量-持股比例合计≈100%,603418,友升股份,,,,,待复核,,,PDF p42-43,,,,,,,,3股东10.3% 偏离100%,2020-09-27,增资后,3,10.32,100.00,-89.68,,,,,,,
股权存量-持股比例合计≈100%,603418,友升股份,,,,,待复核,,,PDF p43-45,,,,,,,,10股东7.6% 偏离100%,2022-12-19,增资后,10,7.61,100.00,-92.39,,,,,,,
股权存量-持股比例合计≈100%,301581,黄山谷捷,,,,,pass,,,PDF p1,,,,,,,,3股东100.0% ≈100%,2021-04-07,股权转让后,3,100.00,100.00,0.00,,,,,,,
股权存量-持股比例合计≈100%,301581,黄山谷捷,,,,,pass,,,PDF p1,,,,,,,,3股东100.0% ≈100%,2021-04-13,其他后,3,100.00,100.00,0.00,,,,,,,
股权存量-持股比例合计≈100%,301581,黄山谷捷,,,,,pass,,,PDF p1,,,,,,,,6股东100.0% ≈100%,2022-09-13,其他后,6,100.00,100.00,-0.00,,,,,,,
股权存量-持股比例合计≈100%,301563,云汉芯城,,,,,待复核,,,PDF p1,,,,,,,,3股东21.2% 偏离100%,2014-08,增资后,3,21.18,100.00,-78.82,,,,,,,
股权存量-持股比例合计≈100%,301563,云汉芯城,,,,,待复核,,,PDF p1,,,,,,,,5股东5.8% 偏离100%,2015-08,增资后,5,5.84,100.00,-94.16,,,,,,,
股权存量-持股比例合计≈100%,301563,云汉芯城,,,,,待复核,,,PDF p1,,,,,,,,3股东75.5% 偏离100%,2015-12-03,其他后,3,75.52,100.00,-24.48,,,,,,,
股权存量-持股比例合计≈100%,301563,云汉芯城,,,,,待复核,,,PDF p1,,,,,,,,6股东11.1% 偏离100%,2018-06-28,增资及股权转让后,6,11.10,100.00,-88.90,,,,,,,
股权存量-持股比例合计≈100%,688758,赛分科技,,,,,pass,,,PDF p64,,,,,,,,5股东100.0% ≈100%,2011-10,股权转让后,5,100.01,100.00,0.01,,,,,,,
股权存量-持股比例合计≈100%,688758,赛分科技,,,,,待复核,,,PDF p52-53,,,,,,,,8股东83.5% 偏离100%,2021-09-16,其他后,8,83.49,100.00,-16.51,,,,,,,
股权存量-持股比例合计≈100%,688775,影石创新,,,,,待复核,,,PDF p1,,,,,,,,4股东61.4% 偏离100%,2020-02-26,其他后,4,61.39,100.00,-38.61,,,,,,,
股权存量-持股比例合计≈100%,920116,星图测控,,,,,pass,,,PDF p48,,,,,,,,3股东100.0% ≈100%,2016-12-14,设立后,3,100.00,100.00,0.00,,,,,,,
股权存量-持股比例合计≈100%,920116,星图测控,,,,,pass,,,PDF p47,,,,,,,,7股东100.0% ≈100%,2024-06-30,其他后,7,100.00,100.00,-0.00,,,,,,,
股权转让-总量不变校验,301581,黄山谷捷,,,,,pass,,,PDF p33,,,,,,,,"股权转让不改变总股本,转让方减少=受让方增加,总量不变",,,,,,,2021-04-07,昆山谷捷金属制品有限公司,黄山供销集团有限公司,,0,78.00%,同一控制下转让
股权转让-总量不变校验,301581,黄山谷捷,,,,,pass,,,PDF p33,,,,,,,,"股权转让不改变总股本,转让方减少=受让方增加,总量不变",,,,,,,2021-04-07,昆山谷捷金属制品有限公司,张俊武,,0,11.00%,同一控制下转让
股权转让-总量不变校验,301581,黄山谷捷,,,,,pass,,,PDF p33,,,,,,,,"股权转让不改变总股本,转让方减少=受让方增加,总量不变",,,,,,,2021-04-07,昆山谷捷金属制品有限公司,周斌,,0,11.00%,同一控制下转让
