stock_code,company_short,event_order,event_date,event_type,inferred_round,confidence,source_page,evidence_length,needs_annotation,annotator,review_date,notes
001282,三联锻造,1,2004-06-18,增资,公司设立,high,PDF p1,153,yes,zbq,2026-06-17,家族创始三人组设立，孙国奉为第一大股东（35%）
001282,三联锻造,2,2007-12,增资及股权转让,第一次增资（家族内部资金注入）,medium,PDF p1,165,yes,zbq,2026-06-17,"家族关联方（温州三联、张爱连、孙娟丽）注资后退出，股权回归三位创始人家族。注册资本从500万增至2,000万"
001282,三联锻造,3,2014-05,增资,第二次增资（创始人增资）,medium,PDF p1,88,yes,zbq,2026-06-17,"创始人增资3,000万，孙国奉控制权进一步增强（66.50%）"
001282,三联锻造,4,2017-02,增资,Pre-IPO轮（首次引入外部机构）,medium,PDF p1,68,yes,zbq,2026-06-17,"首次引入外部PE/VC机构（高新同华），注册资本增至6,150万"
001282,三联锻造,5,2018-11-26,其他,整体变更为股份有限公司,high,PDF p1,157,yes,zbq,2026-06-17,"股改：净资产2.98亿折股8,150万股。5名发起人，家族+高新同华（VC）"
603418,友升股份,1,1992-12-04,设立,公司设立,high,PDF p40-42,168,yes,zbq,2026-06-17,有限公司设立。徐泾工业公司以土地使用权出资99.12万美元+货币出资140.88万美元；友升太平洋美国以货币出资160万美元。实际控制人罗世兵2003年通过代持间接收购外方股权
603418,友升股份,2,2020-09-09,整体变更,整体变更为股份有限公司,high,PDF p41-42,229,yes,zbq,2026-06-17,"股改。追溯调整后净资产40,437.44万元，评估值48,620.33万元。泽升贸易为控股股东(罗世兵100%持有)，达晨创联为外部PE"
603418,友升股份,3,2020-09-27,增资,A轮,high,PDF p42-43,157,yes,zbq,2026-06-17,"A轮：金浦系(金浦临港+金浦科创)合计10,000万，上海骁墨1,500万。认购价8.33元/股"
603418,友升股份,4,2022-12-19,增资,B轮,high,PDF p43-45,355,yes,zbq,2026-06-17,B轮：达晨系+杉晖/联炻/安吉璞颉/财投晨源/杉创智至共10家机构，总融资3.7亿。认购价33.63元/股
301581,黄山谷捷,1,2012-06-12,增资,公司设立,high,PDF p1,192,yes,zbq,2026-06-17,初始设立事件，昆山谷捷为唯一股东，黄山市供销社（政府背景）通过昆山谷捷间接控股
301581,黄山谷捷,2,2021-04-07,股权转让,同一控制下股权重组,high,PDF p1,193,yes,zbq,2026-06-17,同一控制下的股权重组，昆山谷捷退出，实际控制权从昆山谷捷转移到黄山供销集团直接持股
301581,黄山谷捷,3,2021-04-13,其他,吸收合并,high,PDF p1,201,yes,zbq,2026-06-17,"谷捷有限吸收合并其母公司昆山谷捷，合并后注册资本增至1,200万元"
301581,黄山谷捷,4,2021-11-11,增资,A轮（首次引入外部投资者）,high,PDF p1,189,yes,zbq,2026-06-17,"首次引入外部投资者（A轮）。赛格高技术（上海广弘实业）出资10,377万元占27%；上汽科技出资1,153万元占3%。投后估值约3.84亿元"
301581,黄山谷捷,5,2022-05-26,增资,员工股权激励,high,PDF p1,179,yes,zbq,2026-06-17,员工股权激励轮，由黄山佳捷（员工持股平台）全额认购
301581,黄山谷捷,6,2022-09-13,其他,整体变更为股份有限公司,high,PDF p1,142,yes,zbq,2026-06-17,有限公司整体变更为股份有限公司，净资产折股方案为按1:0.29773折股
301563,云汉芯城,1,2008-05-07,增资,公司设立,high,PDF p1,103,yes,zbq,2026-06-17,公司设立，深圳云汉电子（法人股东）与刘云锋（创始人）各50%
301563,云汉芯城,2,2009-12,增资及股权转让,天使轮,medium,PDF p1,98,yes,zbq,2026-06-17,天使轮：深圳云汉电子退出，曾烨受让全部50%股权并参与增资
301563,云汉芯城,3,2014-08,增资,A轮,medium,PDF p1,76,yes,zbq,2026-06-17,A轮：引入上市公司力源信息（产业资本）和东方富海系（VC），注册资本从100万增至128.205万
301563,云汉芯城,4,2015-08,增资,B轮,high,PDF p1,135,yes,zbq,2026-06-17,"B轮：引入深创投系（深圳创投、镇江红土、昆山红土）和富海系。丰利财富出资1,000万元。附带业绩对赌条款"
301563,云汉芯城,5,2015-12-03,其他,整体变更为股份有限公司,high,PDF p1,129,yes,zbq,2026-06-17,"股改：净资产4,501万折股4,000万。曾烨持股44.48%为第一大股东"
301563,云汉芯城,6,2018-06-28,增资及股权转让,C轮,high,PDF p1,201,yes,zbq,2026-06-17,C轮：国科系（国科瑞华、CASREV FUND、中科贵银）主投，南山富海跟投。总融资1.51亿，投后估值约13.5亿
301563,云汉芯城,7,2020-05-28,增资,D轮,high,PDF p1,103,yes,zbq,2026-06-17,"D轮：火炬电子（上市公司/产业资本）独家投资5,000万，投后估值21亿"
301563,云汉芯城,8,2020-09-23,增资及股权转让,D+轮,high,PDF p1,127,yes,zbq,2026-06-17,"D+轮：厦门西堤5,000万 + 政府中小企业基金2,000万。IPO前最后一轮，投后估值25.2亿"
688758,赛分科技,1,2009-03,增资,公司设立,low,PDF p2,102,yes,zbq,2026-06-17,赛分科技由黄学英（美籍技术创始人）与沈建林、潘鼎共同设立。因MinerU解析质量有限，部分原文缺失
688758,赛分科技,3,2015-08,增资,早期PE轮（高新同华业绩对赌）,high,PDF p57-58,117,yes,zbq,2026-06-17,高新同华约2015年投资赛分科技，附带业绩对赌。后因业绩不达预期，黄学英以零对价向高新同华转让22万元注册资本作为补偿
688758,赛分科技,4,2021-04,增资及股权转让,Pre-IPO轮（报告期内第一次股权转让及第一次增资）,high,PDF p55-56,238,yes,zbq,2026-06-17,报告期内第一次股权转让：黄学英（创始人）向复星惟盈（PE）、朱勤华、唐斌、张敏转让老股。复星惟盈受让价51.52元/注册资本
688758,赛分科技,5,2021-08,股权转让,报告期内第二次股权转让（业绩补偿）,high,PDF p57-58,153,yes,zbq,2026-06-17,业绩对赌补偿：黄学英以0元向高新同华转让22万注册资本（0.8%），作为2015年业绩承诺未达标的补偿
688758,赛分科技,6,2021-11,增资,Pre-IPO轮（第二次增资：引入多家顶级机构）,high,PDF p59-61,441,yes,zbq,2026-06-17,Pre-IPO轮大规模增资：源峰磐赛（中信产业基金旗下）2亿领投，高瓴祈睿（高瓴资本医疗基金）8000万，夏尔巴二期5000万，国药系7886.79万，甘李药业3000万。总融资5.4亿元，增资价12
688758,赛分科技,7,2021-09-16,其他,整体变更为股份有限公司,high,PDF p52-53,299,yes,zbq,2026-06-17,"股改：12名发起人股东。黄学英29.20%为第一大股东。国寿疌泉（国寿资本）、华泰大健康一号（华泰证券）、复星惟盈（复星资本）为外部PE股东。股改基准日累计未分配利润为负4,960万"
688775,影石创新,1,2015-07-09,增资,公司设立,high,PDF p1,68,yes,zbq,2026-06-17,北京岚锋（境外架构顶层公司）全资设立深圳岚锋作为境内运营主体
688775,影石创新,2,2015-01,增资,天使轮,low,PDF p42,111,yes,zbq,2026-06-17,天使轮。招股书未逐轮披露六次增资的详情，本拆分基于投资人类型推断，日期和金额均未明确。confidence=low 日期为推断年份(2015→2015-01)，招股书未逐轮披露具体月份。
688775,影石创新,3,2016-01,增资,A轮,low,PDF p42,68,yes,zbq,2026-06-17,A轮。启明创投美元基金进入。招股书未逐轮披露详情，日期/金额均未明确。confidence=low 日期为推断年份(2016→2016-01)，招股书未逐轮披露具体月份。
688775,影石创新,4,2017-01,增资,B轮,low,PDF p42,72,yes,zbq,2026-06-17,B轮。战略投资方迅雷+产业投资方富凯进入。招股书未逐轮披露详情，日期/金额均未明确。confidence=low 日期为推断年份(2017→2017-01)，招股书未逐轮披露具体月份。
688775,影石创新,5,2018-01,增资,C轮/C+轮,low,PDF p42,94,yes,zbq,2026-06-17,C轮/C+轮（后期）。4家PE/产业资本进入。招股书未逐轮披露详情，可能包含多轮。日期/金额均未明确。confidence=low 日期为推断年份(2018→2018-01)，招股书未逐轮披露具体月份
688775,影石创新,6,2020-02-26,其他,整体变更为股份有限公司,high,PDF p1,188,yes,zbq,2026-06-17,股改：净资产5.27亿折股3.6亿，27名发起人股东
688775,影石创新,7,2023-03-24,股权转让,申报前12个月内股东调整,high,PDF p1,138,yes,zbq,2026-06-17,申报前12个月内老股东德朴投资退出，汇智同裕接盘
920100,三协电机,1,2002-11-07,设立,公司设立,medium,PDF p30,168,yes,zbq,2026-06-17,三协电机有限公司设立。盛祎、朱绶青为夫妻，共同实际控制人。具体设立时出资结构待从历沿革章节进一步提取
920100,三协电机,2,2022-08-09,增资,新三板定增,high,PDF p31-32,216,yes,zbq,2026-06-17,新三板挂牌后第一次定增。稳正景明(雷赛智能98%出资)目前持股486.70万股(9.16%)。稳正景明基金管理人为深圳市稳正资产管理有限公司
920100,三协电机,3,2023-09-06,增资,北交所上市前定增,high,PDF p32,236,yes,zbq,2026-06-17,"第二次定增。15名自然人(盛祎及员工/关联方)认购321.50万股。2023年12月权益分派:10转增3.8股+10派3.90元，转增1,462.43万股"
920116,星图测控,1,2016-12-14,设立,公司设立,high,PDF p48,160,yes,zbq,2026-06-17,有限公司设立。四方股份为中科星图关联方。牛威(总经理)和吴功友通过代持方式持股。代持于2017年10月解除
920116,星图测控,2,2017-10-25,股权转让,代持还原,high,PDF p48,158,yes,zbq,2026-06-17,代持还原：罗永红→牛威，王金林→吴功友。零对价。解除后无纠纷
920116,星图测控,3,2024-06-30,其他,IPO前股权结构（2024年中报时点）,high,PDF p47,222,yes,zbq,2026-06-17,IPO前股权结构。中科星图为控股股东(46.36%)，中国科学院空天院为实际控制人。策星系为员工持股平台(合计38.88%)。幸福一期/二期为外部PE。2016年设立→2023年新三板挂牌→2024年
