stock_code,company_name,candidate_rows,validated_rows,missing_date_candidates,duplicate_candidate_rate,validated_type_counts
688411,海博思创,46,25,21,0.0,增资:8;设立:17
688545,兴福电子,118,64,54,0.0,增资:24;设立:40
688583,思看科技,60,47,13,0.0,增资:39;设立:8
688727,恒坤新材,118,40,78,0.0,增资:16;设立:24
688729,屹唐股份,16,16,0,0.0,增资:8;设立:8
688755,汉邦科技,118,95,22,0.0,增资:79;设立:16
688757,胜科纳米,100,66,34,0.0,增资:58;整体变更:8
688759,必贝特,49,30,19,0.0,整体变更:6;设立:24
688765,禾元生物,62,40,22,0.0,增资:24;设立:16
688783,西安奕材,40,32,8,0.0,增资:16;整体变更:8;设立:8
688790,昂瑞微,22,13,9,0.0,增资:5;设立:8
688796,百奥赛图,37,28,9,0.0,增资:12;增资及股权转让:16
688805,健信超导,30,30,0,0.0,增资:14;整体变更:8;设立:8
688807,优迅股份,24,24,0,0.0,增资及股权转让:8;设立:16
688809,强一股份,11,8,3,0.0,设立:8
