error_type,record_id,stock_code,date,event_type,investor_name,source_page,evidence_text
FN,GE-39d72133e71d,001282,2017-02,增资,芜湖高新同华创业投资合伙企业（有限合伙）,PDF p1,"2017年2月，三联有限第三次增资1,150万元，由高新同华出资1,150万元。注册资本增至6,150万元。高新同华为私募创业投资基金。"
FN,GE-b3403406d446,001282,2014-05,增资,孙国奉,PDF p1,"2014年5月，三联有限第二次增资3,000万元，孙国奉出资1,995万元，张松满出资1,005万元。注册资本增至5,000万元。增资后孙国奉66.50%，张松满33.50%。"
FN,GE-e8608f2fc2fb,001282,2018-11-26,其他,孙国奉,PDF p1,"2018年10月11日，三联有限召开股东会，同意整体变更设立股份有限公司。截至2018年7月31日，经审计净资产29,828.50万元（调整后），按1:0.2732折股81,500,000股，每股面值1元。发起人为孙国奉、张一衡、孙国敏、孙仁豪、高新同华5名股东。2018年11月26日经芜湖市工商行政管理局核准。"
FN,GE-e9d0b79242e1,001282,2007-12,增资及股权转让,温州三联锻造有限公司,PDF p1,"2007年12月，三联有限第一次增资1,500万元，温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。注册资本增至2,000万元。2008年1月，温州三联将395万元转让予孙国奉、97.5万元予孙国敏、127.5万元予张松满；孙娟丽将380万元转让予张松满；张爱连将400万元转让予孙国敏。"
FN,GE-f409f8dd1217,001282,2004-06-18,增资,孙国奉,PDF p1,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，注册资本500万元，孙国奉以机器设备出资175万元（35%）；孙国敏以货币和机器设备出资162.5万元（32.5%）；张松满以货币和机器设备出资162.5万元（32.5%）。2004年6月18日经芜湖市工商行政管理局核准。
FN,GE-05fcad338e81,301563,2008-05-07,增资,深圳市云汉电子有限公司,PDF p1,2008年4月17日，深圳市云汉电子有限公司和刘云锋共同申请设立上海云汉电子有限公司，注册资本50万元，深圳云汉电子认缴25万元（50%），刘云锋认缴25万元（50%）。2008年5月7日办理完毕工商登记。
FN,GE-203e81161a20,301563,2018-06-28,增资及股权转让,国科瑞华（北京）创业投资合伙企业（有限合伙）,PDF p1,"2018年6月12日，国科瑞华以现金7,412万元认缴新增注册资本254.4787万元；CASREV FUND以1,800万元等值美元认缴61.8万元；中科贵银以1,584万元认缴54.384万元；夏东以204万元认缴7.004万元；南山富海以3,000万元认缴103万元；珠海拓域以1,000万元认缴34.3333万元。每股价格约29.13元，对应投后估值约13.5亿元。注册资本增至4,635万元。"
FN,GE-3a4a8e93bce5,301563,2009-12,增资及股权转让,曾烨,PDF p1,2009年12月，有限公司第一次股权转让及增资，注册资本增至100万元。深圳市云汉电子有限公司将其持有的有限公司50%股权转让给曾烨。曾烨、刘云锋按原持股比例增资50万元，注册资本增至100万元。
FN,GE-53864d3e2e5a,301563,2020-09-23,增资及股权转让,厦门西堤股权投资合伙企业（有限合伙）,PDF p1,"2020年9月15日召开临时股东大会，同意注册资本由4,748.0488万元增至4,883.7074万元。厦门西堤以5,000万元认购96.899万股，中小企业基金以2,000万元认购38.7596万股。每股价格约51.6元，对应投后估值约25.2亿元。"
FN,GE-859d15207be1,301563,2015-08,增资,深圳市创新投资集团有限公司,PDF p1,"深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元，注册资本增至2,158.2733万元。丰利财富代表其管理的丰利新三板基金投资，投资总额1,000万元。B轮投资协议约定了2015年、2016年、2017-2018年业绩承诺及上市承诺。"
